case_id,city,source_url,publish_date,title,content,department,process,result,conflict_type
GZ_075,广州,http://www.gz.gov.cn/,2025-12-04,反映噪声、气味、污水等环境问题,开宵夜档播放音响大声唱歌喧杂声大，天天播到深夜1、2点实在太吵了。,广东省广州市南沙区黄阁镇黄阁大道与庐前山南路交叉口(南沙十里方圆),我单位对该地址附近的大排档处理情况。对相关商户公放唱歌造成的噪音影响已进行提醒教育，要求其加强音量管理工作，并督促村居部门加强对上址巡逻管控工作，发现此类现象要立即制止，减少对周边住户的影响。,已解决,噪声扰民问题
GZ_076,广州,http://www.gz.gov.cn/,2025-12-04,反映道路桥梁设施问题,河道步道被非法占为己有，不让行人路过，影响他人日常生活以及休闲活动，带来极大的不便利,广州市白云区钟落潭镇九太路沙田郭树路（广州帽峰山生态园北门对面）,投诉后，派出队员到达现场，已责令当事人拆除围蔽绿道的围蔽物。,已解决,公共设施问题
GZ_077,广州,http://www.gz.gov.cn/,2025-12-05,反映游商问题,乱摆卖太严重了,广东省广州市广州市增城区石滩镇碧桂园豪园千鹤街,接件后，石滩镇政府高度重视，指派镇综合行政执法队对您反映的问题进行核查。根据《广州市市容环境卫生管理规定》第二十四条规定：“任何单位和个人不得占用道路、桥梁、人行天桥、地下通道等公共场所设摊经营、兜售物品，堆放废旧物品、废弃互联网租赁自行车，影响市容环境卫生。道路两侧和广场周围建筑物、构筑物内的经营者不得超出门窗和外墙设摊经营。”2025年12月8日，镇综合行政执法队工作人员到现场核查，发现乱摆卖情况，已立即驱赶游商，要日求其清理好路面，需入室文明经营,已解决,公共设施问题
GZ_078,广州,http://www.gz.gov.cn/,2025-12-07,反映路桥坑洼、破损问题,路桥坑洼、破损,广东省广州市天河区天河南街道(广州大道中)中山一立交第三层南往北方向，广州大道北与内环路交叉口导流线前50米,市民反映上址路面破损严重的情况已收悉，目前已安排人员前往该路段进行核查，现该路面已修复完毕。感谢市民提出的宝贵意见。,已解决,公共设施问题
GZ_079,广州,http://www.gz.gov.cn/,2025-12-08,反映噪声问题,晚上有食客声音较大，有点吵,:广东省广州市南沙区珠江街道珠江街道广州龙穴管业有限公司(珠江创新谷夜市),接诉后，前锋社区工作人员已马上联系管理方要求对夜市商户和食客进行劝导，要求商家提醒食客用餐时候降低音量，避免对周边居民造成影响。,已解决,噪声扰民问题
GZ_080,广州,http://www.gz.gov.cn/,2025-12-08,反映道路桥梁设施问题,广州市白云区启德路和康庄路红绿灯交界处 不知道是撞坏还是干嘛 坏了很久了，已影响行人通行。,广州市白云区启德路和康庄路红绿灯交界处,市民反映上址道路桥梁设施问题，工作人员到现场核查，并安排工人将上址道路修复好了。,已解决,公共设施问题
GZ_081,广州,http://www.gz.gov.cn/,2025-12-09,反映公共场所环境卫生问题,租户长期把烟头丢入我家楼房中。,广东省广州市黄埔区黄埔街道黄埔街道仁安里(下沙仁安里19号),接到您的反馈后我们高度重视，立即对您反映的情况进行了调查核实并约谈房东，房东态度积极，表示会对住户吸烟问题加强管理和提醒。已要求房东加强措施应对，落实消防主体责任，加强日常消防管理,已解决,公共卫生问题
GZ_082,广州,http://www.gz.gov.cn/,2025-12-10,反映道路保洁问题,粉尘在路面飞扬扩散，希望增加该路段洒水降尘与路面清扫的频次。,广东省广州市增城区新塘镇港口大道路段,针对市民反映的道路保洁问题，我执法队已督促相关保洁公司到场进行路面保洁工作，增加洒水车的频次做好道路防尘。日后，我执法队将加强对该区域道路保洁和环境卫生的巡查力度，做到道路保洁到位，以降低对附近群众的影响,已解决,公共卫生问题
GZ_083,广州,http://www.gz.gov.cn/,2025-12-12,反映照明设施问题,路灯属于故障不亮，天黑走很恐怖，恢复照明。,茅山大道南路至江边路段（东江首府门口）,经核查，上址路灯已修复并已亮灯。,已解决,公共设施问题
GZ_084,广州,http://www.gz.gov.cn/,2025-12-13,反映工地扬尘问题,有施工，很多灰尘,广东省广州市增城区新塘镇瑶田村东联开发区姚田河,我镇已要求施工单位加强洒水频次，减少施工扬尘,已解决,公共设施问题
GZ_085,广州,http://www.gz.gov.cn/,2025-12-14,反映气味扰民问题,:新塘镇荔新九路43号千亿产业园内，每天不定时发出刺鼻气味，影响周边人员生活工作，气味扰民。,广东省广州市新塘镇新塘大道中一号,2025年12月16日，镇环保办工作人员到现场核查。经溯源，被投诉企业为广州洛朗新材料有限公司，该公司位于荔新九路43号，从事化学用品制造，占地约500平方，设有1台加热搅拌炉，3台低温搅拌炉，1台烤箱，治理设备正在改进中，现场检查时车间大门未完全闭合，部分气味扩散至外环境。镇环保办工作人员责令其负责人加快对治理设备及车间密闭性进行完善与改进，确保废气达标排放，不得影响周边环境。 ,已解决,环境卫生问题
GZ_086,广州,http://www.gz.gov.cn/,2025-12-15,反映不明井盖噪声问题,井盖，每次过车，车轮碾压井盖发出较大噪音。,广东省广州市越秀区白云街道合群一马路与合群西路交叉口正西方向69米左右(合群一马路89-95号大院),经核实有2个井盖存在异响情况，12月17日00时30分已将异响井盖修复，井盖异响问题已解决,已解决,公共设施问题
GZ_087,广州,http://www.gz.gov.cn/,2025-12-17,反映大气问题,该店铺广州市增城瑞昇汽车用品店，是做汽车调漆的， 经常拿桌子在门外面喷漆，实际店内没卖汽车配件，油漆味很难闻，影响周边居民的生活,广东省广州市增城区新塘镇石下新沙大道北66号,该店主要经营油漆售卖，设有手工试喷、调漆工艺，未配套油漆废气治理设施，产生气味影响周边环境。镇环保办工作人员现场责令该店负责人立即移除调漆设备，加强日常管理，不得影响周边居民生活,已解决,环境卫生问题
GZ_088,广州,http://www.gz.gov.cn/,2025-12-18,反映垃圾满溢（垃圾设施满溢）问题,小区垃圾站的垃圾都满了，没人清理,广东省广州市增城区中新镇福中路34号恒大山水郡小区,收到您反映小区垃圾站垃圾满溢无人清理的问题后，我镇高度重视，在第一时间要求恒大山水郡小区物业公司加强园区内垃圾站的日常巡查与清运频次，确保垃圾及时清理、周边环境整洁。后续我镇也将持续跟进该小区的垃圾清运情况，督促物业公司进一步提升管理服务水平，为居民创造干净舒适的居住环境。,已解决,环境卫生问题
GZ_089,广州,http://www.gz.gov.cn/,2025-12-19,反映噪声、气味、污水等环境问题,市民反映，广场舞太吵了,广东省广州市白云区石井街道潭村公园(宝岗楼东南)附近(潭村公园-东门),您反映的投诉事项白云区石井街道潭村公园(宝岗楼东南)附近(潭村公园-东门)生活噪声污染生活噪声问题已收悉，工作人员到现场核查，工作人员现场责令居民降至合理分贝，控制娱乐时间,已解决,噪声扰民问题
GZ_090,广州,http://www.gz.gov.cn/,2025-12-19,反映暴露垃圾（未倒入容器生活垃圾）问题,市民反映，有堆垃圾未清理,广东省广州市番禺区洛浦街道东乡一街三巷与东乡一街四巷交叉口东南方向34米左右(东乡村一街二巷1号楼),番禺区洛浦街回复：东乡村收悉此诉求，东乡村工作人员已安排清洁工人到现场清洁，并督促其加强改路段巡查管理及清洁力度,已解决,环境卫生问题
GZ_091,广州,http://www.gz.gov.cn/,2025-12-21,反映噪声、气味、污水等环境问题,每天晚上下班回来隔着大马路能听到营地在唱歌扰民，超级大声，又难听,:广东省广州市白云区同和街道白云区北太路373,夏良村工作人员已上门上址，告知负责人需提醒客人降低音量噪声，避免噪声对附近居民造成影响,已解决,环境卫生问题
GZ_092,广州,http://www.gz.gov.cn/,2025-12-22,反映路桥坑洼、破损问题,路面下塌,事发地址:广东省广州市荔湾区金花街道金花街道西华路162号(珍珍小食店对面-隔壁有停车场)(老濠江潮菜馆·22年老字号(,针对您反映西华路162号(珍珍小食店对面-隔壁有停车场)(老濠江潮菜馆·22年老字号(西华路店))道路破损问题，经核实，已对该位置进行修复，已修复完成。,已解决,公共设施问题
GZ_093,广州,http://www.gz.gov.cn/,2025-12-23,反映道路桥梁设施问题,行人道止车石损毁,广东省广州市从化区温泉镇风景区温泉东路碧泉酒店附近,经温泉镇建设服务中心核查，您反应的情况属实。 二、工作人员于2025年12月31日到现场处理，已将上述路段行人道止车石修复,已解决,公共设施问题
GZ_094,广州,http://www.gz.gov.cn/,2025-12-24,反映电动车违规问题,电动车占道摆放导致交通堵塞,广东省广州市天河区车陂街道404路夜64路(东圃二马路[公交站]),电动车占道摆放，导致严重交通拥堵,已解决,停车摆放问题
GZ_095,广州,http://www.gz.gov.cn/,2025-12-26,反映噪声、气味、污水等环境问题,噪声扰民,广东省广州市天河区猎德街道海风路广粤尊府(凯旋新世界·广粤尊府-T16栋),关于您反映的楼下弹琴噪音扰民问题，我们已及时介入处理：2025年12月29日10:30，我街社区第一时间致电向您了解情况；10:40我街社区联系物业上门与弹琴者沟通，说明噪音对您的影响，对方表示歉意并承诺将弹琴时间调整至上午；同时，我街社区已督促物业加强日常巡查，杜绝类似噪音扰民情况再次发生,已解决,噪声扰民问题
GZ_096,广州,http://www.gz.gov.cn/,2025-12-28,反映噪声问题,增城区新塘镇新塘公园，跳广场舞的音乐声噪声扰民，没有管理人员进行管理。希望职能部门尽快跟进解决噪声扰民问题。,广东省广州市增城区新塘镇新塘大道新塘公园,根据市民反映的问题，我办通知公园安保已对各广场舞群体，进行通知劝告，控制好音乐音量，以免影响他人。往后都会跟踪监管好。给市民一个舒适怡人的公共场所,已解决,噪声扰民问题
GZ_097,广州,http://www.gz.gov.cn/,2025-12-31,反映生活垃圾分类问题,该地址门口那个垃圾桶没及时清理，很多垃圾,广东省广州市广州市增城区石滩镇上灯街美宜佳,接到投诉后，我镇城乡环卫组高度重视，迅速响应，第一时间组织清洁力量对现场垃圾进行全面清理，目前问题已整改到位,已解决,环境卫生问题
GZ_098,广州,http://www.gz.gov.cn/,2025-01-01,反映路桥坑洼、破损问题,东方国际广场和小河中问的路地陷了，商场东三街门口前面,广东省广州市天河区天园街道黄埔大道中299号(东方国际商业广场),事发后，工作人员立即赶赴现场开展应急处置，经核查路面地下空洞面积约8平方米，随后会同区水务局对塌陷区域进行回填修复，已于当日完成全部整改工作,已解决,公共设施问题
GZ_099,广州,http://www.gz.gov.cn/,2025-01-03,反映燃放烟花问题,晚上12:00还在放烟花！严重影响老人孩子睡觉，孩子一听到烟花响就惊醒大哭！,广州市从化区珠光御景山水城背后河边绿道,经从化区公安分局江埔派出所2026年1月5日核实，已安排警力加强河堤路段夜间巡逻,已解决,噪声扰民问题
GZ_100,广州,http://www.gz.gov.cn/,2025-01-04,反映消防安全问题,广州白云区石门街红星村红星街九巷8号一楼巷口十字路违规安装电动车充电桩，该出租屋人员电动车充电时把仅有一米的巷口堵塞，行人无法通过。,广东省广州市广州白云区石门街红星村红星街九巷8号一楼,关于市民反映白云区石门街红星村红星街九巷8号一楼违规安装充电桩的问题。经核查，该充电桩于1月13日已拆除。,已解决,消防安全问题
